Mtime,Mdate,Mtour,Mtypes,Mid,T1name,T2name,T1logo,T2logo,Mstatus,T1score,T2score,WR,FB,F10,WR2,FB2,F102,P11,P12,P13,P14,P15,P21,P22,P23,P24,P25,P11_photo,P12_photo,P13_photo,P14_photo,P15_photo,P21_photo,P22_photo,P23_photo,P24_photo,P25_photo,P11_score,P12_score,P13_score,P14_score,P15_score,P21_score,P22_score,P23_score,P24_score,P25_score
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370614,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370630,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,369956,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370462,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370652,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370443,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370480,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,369868,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,369976,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
07:00:00,2020-04-13,Chinese DOTA2 Professional Association,Best of 3,370484,Vici Gaming,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,Upcoming,0,0,57%,41%,47%,68%,44%,42%,Ori,Eurus,Pyw,Yang,Dy,September,Super,Setsu,Monet,Flywin,https://ru.dltv.org/storage/app/uploads/public/c46/107/676/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dfb/ddd/a0b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/289/7f3/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f83/ee1/c19/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7cd/ee6/11e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/55a/b1f/c94/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/cb0/aa3/08c/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ac0/61f/bc5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/97d/3e0/358/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/146/197/ad7/thumb__300_300_0_0_auto.png,3,2,58,45,23,22,137,11,12,31
