Mid,H2H_date,H2H_time,H2H_total_t1,H2H_total_t2
370614,2020-04-11,08:05:00,0,2
370614,2020-03-29,14:20:00,0,2
370614,2020-03-28,09:00:00,2,0
370614,2020-01-02,09:00:00,2,0
370614,2019-10-07,08:30:00,2,1
370630,2020-04-11,08:05:00,0,2
370630,2020-03-29,14:20:00,0,2
370630,2020-03-28,09:00:00,2,0
370630,2020-01-02,09:00:00,2,0
370630,2019-10-07,08:30:00,2,1
369956,2020-04-11,08:05:00,0,2
369956,2020-03-29,14:20:00,0,2
369956,2020-03-28,09:00:00,2,0
369956,2020-01-02,09:00:00,2,0
369956,2019-10-07,08:30:00,2,1
370462,2020-04-11,08:05:00,0,2
370462,2020-03-29,14:20:00,0,2
370462,2020-03-28,09:00:00,2,0
370462,2020-01-02,09:00:00,2,0
370462,2019-10-07,08:30:00,2,1
370652,2020-04-11,08:05:00,0,2
370652,2020-03-29,14:20:00,0,2
370652,2020-03-28,09:00:00,2,0
370652,2020-01-02,09:00:00,2,0
370652,2019-10-07,08:30:00,2,1
370443,2020-04-11,08:05:00,0,2
370443,2020-03-29,14:20:00,0,2
370443,2020-03-28,09:00:00,2,0
370443,2020-01-02,09:00:00,2,0
370443,2019-10-07,08:30:00,2,1
370480,2020-04-11,08:05:00,0,2
370480,2020-03-29,14:20:00,0,2
370480,2020-03-28,09:00:00,2,0
370480,2020-01-02,09:00:00,2,0
370480,2019-10-07,08:30:00,2,1
369868,2020-04-11,08:05:00,0,2
369868,2020-03-29,14:20:00,0,2
369868,2020-03-28,09:00:00,2,0
369868,2020-01-02,09:00:00,2,0
369868,2019-10-07,08:30:00,2,1
369976,2020-04-11,08:05:00,0,2
369976,2020-03-29,14:20:00,0,2
369976,2020-03-28,09:00:00,2,0
369976,2020-01-02,09:00:00,2,0
369976,2019-10-07,08:30:00,2,1
370484,2020-04-11,08:05:00,0,2
370484,2020-03-29,14:20:00,0,2
370484,2020-03-28,09:00:00,2,0
370484,2020-01-02,09:00:00,2,0
370484,2019-10-07,08:30:00,2,1
370667,2020-04-11,08:05:00,0,2
370667,2020-03-29,14:20:00,0,2
370667,2020-03-28,09:00:00,2,0
370667,2020-01-02,09:00:00,2,0
370667,2019-10-07,08:30:00,2,1
370444,2020-04-11,08:05:00,0,2
370444,2020-03-29,14:20:00,0,2
370444,2020-03-28,09:00:00,2,0
370444,2020-01-02,09:00:00,2,0
370444,2019-10-07,08:30:00,2,1
369934,2020-04-11,08:05:00,0,2
369934,2020-03-29,14:20:00,0,2
369934,2020-03-28,09:00:00,2,0
369934,2020-01-02,09:00:00,2,0
369934,2019-10-07,08:30:00,2,1
369877,2020-04-11,08:05:00,0,2
369877,2020-03-29,14:20:00,0,2
369877,2020-03-28,09:00:00,2,0
369877,2020-01-02,09:00:00,2,0
369877,2019-10-07,08:30:00,2,1
370196,2020-04-11,08:05:00,0,2
370196,2020-03-29,14:20:00,0,2
370196,2020-03-28,09:00:00,2,0
370196,2020-01-02,09:00:00,2,0
370196,2019-10-07,08:30:00,2,1
370481,2020-04-11,08:05:00,0,2
370481,2020-03-29,14:20:00,0,2
370481,2020-03-28,09:00:00,2,0
370481,2020-01-02,09:00:00,2,0
370481,2019-10-07,08:30:00,2,1
