Mid,T1name,T2name,T1logo,T2logo,Mstatus,T1score,T2score,Mdate,Mtime,Mtour,Mtypes,WR,FB,F10,WR2,FB2,F102,P11,P12,P13,P14,P15,P21,P22,P23,P24,P25,P11_photo,P12_photo,P13_photo,P14_photo,P15_photo,P21_photo,P22_photo,P23_photo,P24_photo,P25_photo,P11_score,P12_score,P13_score,P14_score,P15_score,P21_score,P22_score,P23_score,P24_score,P25_score,TIME,Video
372333,Team Secret,Ninjas in Pyjamas,https://ru.dltv.org/storage/app/uploads/public/697/dc9/c84/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ae1/b22/89c/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-15,19:55:00,Gamers Without Borders 2020,Best of 3,71%,55%,58%,51%,53%,49%,MATUMBAMAN,zai,Puppey,YapzOr,Nisha,Supream^,Era,SoNNeikO,charlie,SabeRLighT-,https://ru.dltv.org/storage/app/uploads/public/3db/0e6/aa5/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/20a/7f3/0f5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/99b/c95/369/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/72e/b55/7c9/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e65/4f5/250/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9b4/95b/1c1/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/fd8/da5/80f/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d97/96a/d06/thumb__300_300_0_0_auto.png,10,27,123,550,-,60,187,-,50,71,2020-05-15 19:55:00+03:00,gorgc
371704,Aggressive Mode,Empire Hope,https://ru.dltv.org/storage/app/uploads/public/2a0/eec/4bc/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/6bd/a9b/bd8/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-15,20:30:00,Cyber.bet Cup: Spring Series - EU,Best of 3,50%,49%,49%,52%,55%,53%,Skylark,SsaSpartan,ThuG.,Qupe,Focus,EcNart-,tatakae,jAMES,Mastery,lightless,https://ru.dltv.org/storage/app/uploads/public/451/bbb/109/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/3e2/ebd/6ab/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/27e/4b5/3be/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b8c/dae/725/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,157,1486,212,372,-,493,136,872,107,279,2020-05-15 20:30:00+03:00,beyondthesummit
371058,Thunder Predator,Real Deal,https://ru.dltv.org/storage/app/uploads/public/203/42b/153/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e91/97e/d32/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-15,21:50:00,Movistar Liga Pro Gaming  Season 4,Best of 2,65%,57%,66%,38%,61%,55%,Leostyle-,MNZ,Matthew~,Mjz,Frank,Benny,mini,nuages,carlin,hane^j1,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d9b/2a8/2fb/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dd4/633/3d1/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,68,9,107,92,14,82,113,-,500,404,2020-05-15 21:50:00+03:00,icenice116
372334,Team Liquid,Alliance,https://ru.dltv.org/storage/app/uploads/public/8f7/855/e04/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-15,22:00:00,Gamers Without Borders 2020,Best of 3,56%,62%,53%,54%,58%,59%,iNSaNiA,Boxi,qojqva,m`iCKe,Taiga,LIMMP,Handsken,s4,Fng,Nikobaby,https://ru.dltv.org/storage/app/uploads/public/569/a48/d27/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/878/ae7/c33/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/dc2/371/59f/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/752/a58/b1b/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/5eb/f65/fc9/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/1eb/a3c/655/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0de/9c6/3ce/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/cb0/8ea/862/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/307/181/8af/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/465/dac/704/thumb__300_300_0_0_auto.jpg,280,33,79,19,147,4,55,98,114,53,2020-05-15 22:00:00+03:00,dota2mc_ru
372184,Team Unknown,Infamous,https://ru.dltv.org/storage/app/uploads/public/77f/a71/03a/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/a97/ae9/8a2/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-15,23:00:00,Epulze Global Dota 2 League: South America Division 1,Best of 2,48%,57%,52%,48%,50%,48%,Wij,greeDy,Robo-Z,Tiares,123,p4pita,`Accelgd,kxy-,pakazs,Michael-,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,254,254,-,85,3910,153,98,37,17,189,2020-05-15 23:00:00+03:00,icenice116
371075,EgoBoys,Azules Esports,https://ru.dltv.org/storage/app/uploads/public/057/2fc/8ac/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/643/76f/ce4/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-15,23:50:00,Movistar Liga Pro Gaming  Season 4,Best of 2,40%,49%,46%,36%,29%,40%,OroYperfume,Mandy,NeFiChú,Ðrakeel,asf,GyO♥,PiPi,LittleBoy.米拉格羅斯,PiscoSour.Young,Bermiggion,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/56e/d84/8ef/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,191,326,408,389,-,144,118,306,2616,-,2020-05-15 23:50:00+03:00,icenice116
372205,IDKMQ,Team Unknown,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/77f/a71/03a/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-16,01:00:00,Epulze Global Dota 2 League: South America Division 1,Best of 2,15%,25%,55%,48%,57%,52%,Dashka,moura-,k13❤vitoria,ItoKa,(not found),Wij,greeDy,Robo-Z,Tiares,123,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,227,135,-,1323,-,254,254,-,85,3910,2020-05-16 01:00:00+03:00,beyondthesummit_pt
371080,Midas Club,Omega Gaming,https://ru.dltv.org/storage/app/uploads/public/808/6d2/79a/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/aa5/072/f64/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-16,01:50:00,Movistar Liga Pro Gaming  Season 4,Best of 2,35%,40%,43%,36%,59%,45%,hyko,Duster,murd0c,RdO-,Sexyfat,Szabo666,Oscar,Panda,mingatte,ins,https://ru.dltv.org/storage/app/uploads/public/215/4c0/196/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ca0/13b/faf/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/555/d2a/8ed/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/fc0/4fb/cd2/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,203,147,171,78,180,228,97,300,20,80,2020-05-16 01:50:00+03:00,icenice116
372193,Sand Blood,Luxor Gaming,https://ru.dltv.org/storage/app/uploads/public/186/12a/901/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/bbf/261/5cf/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-16,03:00:00,Epulze Global Dota 2 League: South America Division 1,Best of 2,49%,44%,45%,45%,52%,59%,Gardick,Emochu,Vitaly,JP,chill,Zxca,Rabish,SexyeYogye,TaO,CeJay,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,512,-,96,-,2151,562,308,588,263,250,2020-05-16 03:00:00+03:00,beyondthesummit_pt
371070,Infamous,Vicious Gaming,https://ru.dltv.org/storage/app/uploads/public/a97/ae9/8a2/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/643/ce7/c05/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-16,03:50:00,Movistar Liga Pro Gaming  Season 4,Best of 2,48%,50%,48%,40%,42%,43%,p4pita,`Accelgd,kxy-,pakazs,Michael-,NoaH♥,Timo,Flapjack,rYCHO-,Creep,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,153,98,37,17,189,-,30,-,-,-,2020-05-16 03:50:00+03:00,icenice116
