Mid,H2H_date,H2H_time,H2H_total_t1,H2H_total_t2
369860,2020-03-29,08:20:00,2.0,3.0
369860,2020-03-28,12:10:00,2.0,1.0
369860,2020-03-25,09:10:00,0.0,3.0
369860,2020-01-03,09:05:00,2.0,0.0
369860,2019-12-18,08:45:00,1.0,1.0
370552,2020-02-09,17:35:00,2.0,0.0
370552,2019-12-02,15:21:02,1.0,1.0
369234,2020-04-18,04:10:00,2.0,0.0
369234,2020-04-01,10:10:00,1.0,2.0
369234,2019-10-27,08:52:02,1.0,2.0
369234,2019-10-25,10:30:52,1.0,0.0
369234,2019-10-06,08:32:03,0.0,2.0
370833,2020-03-29,11:35:00,2.0,0.0
370833,2020-03-20,07:35:00,2.0,0.0
370833,2020-03-11,02:40:00,1.0,2.0
370833,2020-02-28,05:10:00,2.0,0.0
370833,2020-01-13,13:50:00,0.0,2.0
370629,2020-04-01,16:15:00,2.0,1.0
370629,2020-03-22,19:40:00,2.0,1.0
370548,2020-04-12,14:20:00,2.0,0.0
370548,2019-08-17,03:30:00,0.0,2.0
370548,2019-05-06,11:30:00,0.0,2.0
370548,2018-05-24,10:01:40,1.0,0.0
370548,2018-05-01,16:25:44,2.0,0.0
370884,2020-01-30,22:10:00,2.0,0.0
370884,2019-12-03,04:00:00,0.0,1.0
370884,2019-12-02,17:51:02,2.0,0.0
370884,2019-10-29,20:21:02,2.0,0.0
370884,2019-10-17,21:21:02,2.0,0.0
370897,2019-12-02,15:10:02,1.0,1.0
370897,2019-11-21,00:05:02,1.0,0.0
370897,2019-11-15,01:32:02,0.0,1.0
370897,2019-10-05,23:53:02,0.0,2.0
370897,2019-10-01,21:10:03,0.0,2.0
370889,2020-02-13,14:05:00,0.0,2.0
370889,2019-12-15,21:25:00,0.0,2.0
370889,2019-12-14,01:05:00,0.0,2.0
370889,2019-12-02,15:10:02,0.0,2.0
370889,2019-07-10,21:00:00,3.0,0.0
370858,2020-04-14,11:30:00,2.0,0.0
370858,2020-03-31,11:50:00,0.0,2.0
370858,2020-03-16,04:45:00,2.0,0.0
370858,2020-03-01,06:30:00,0.0,2.0
370858,2020-01-22,05:20:00,2.0,1.0
371028,2020-03-24,13:50:00,0.0,3.0
371028,2020-02-12,11:00:00,2.0,0.0
371028,2020-02-09,15:25:00,1.0,1.0
371028,2019-12-01,11:10:02,2.0,0.0
