0,Mid,T2_last_date,T2_last_time,T2_last_name,T2_last_logo,T2_last_total_main,T2_last_total_vs
,370896,2020-04-16,19:00:00,Team Unknown,https://ru.dltv.org/storage/app/uploads/public/77f/a71/03a/thumb__100_100_0_0_auto.png,0.0,2.0
,370896,2020-03-27,20:55:00,Real Deal,https://ru.dltv.org/storage/app/uploads/public/e91/97e/d32/thumb__100_100_0_0_auto.png,0.0,2.0
,370896,2020-03-27,14:30:00,IDKMQ,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,1.0,0.0
,370896,2020-03-26,23:20:00,Real Deal,https://ru.dltv.org/storage/app/uploads/public/e91/97e/d32/thumb__100_100_0_0_auto.png,2.0,0.0
,370896,2020-03-26,20:10:00,NoPing,https://ru.dltv.org/storage/app/uploads/public/250/b0b/30d/thumb__100_100_0_0_auto.png,0.0,2.0
,370617,2020-04-16,23:25:00,Quincy Crew,https://ru.dltv.org/storage/app/uploads/public/885/481/fbd/thumb__100_100_0_0_auto.png,0.0,2.0
,370617,2020-04-13,20:15:00,Evil Geniuses,https://ru.dltv.org/storage/app/uploads/public/008/21c/b3a/thumb__100_100_0_0_auto.png,0.0,2.0
,370617,2020-04-10,23:00:00,Thunder Predator,https://ru.dltv.org/storage/app/uploads/public/203/42b/153/thumb__100_100_0_0_auto.png,1.0,2.0
,370617,2020-04-03,15:10:00,Beastcoast,https://ru.dltv.org/storage/app/uploads/public/dfd/d5c/503/thumb__100_100_0_0_auto.png,1.0,2.0
,370617,2020-04-01,13:15:00,Beastcoast,https://ru.dltv.org/storage/app/uploads/public/dfd/d5c/503/thumb__100_100_0_0_auto.png,0.0,2.0
,370499,2020-04-17,09:35:00,LGD.international,https://ru.dltv.org/storage/app/uploads/public/65b/372/74e/thumb__100_100_0_0_auto.png,2.0,1.0
,370499,2020-04-17,03:25:00,Reverse Heaven,https://ru.dltv.org/storage/app/uploads/public/2cc/d47/cdf/thumb__100_100_0_0_auto.png,0.0,2.0
,370499,2020-04-15,09:50:00,LGD.international,https://ru.dltv.org/storage/app/uploads/public/65b/372/74e/thumb__100_100_0_0_auto.png,2.0,0.0
,370499,2020-04-14,09:40:00,Reality Rift,https://ru.dltv.org/storage/app/uploads/public/9d9/d47/aea/thumb__100_100_0_0_auto.png,1.0,1.0
,370499,2020-04-12,09:55:00,Execration,https://ru.dltv.org/storage/app/uploads/public/a5f/e2d/e07/thumb__100_100_0_0_auto.png,2.0,0.0
,370666,2020-04-17,09:35:00,T1,https://ru.dltv.org/storage/app/uploads/public/0f9/42d/c38/thumb__100_100_0_0_auto.png,0.0,2.0
,370666,2020-04-16,07:05:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,0.0,2.0
,370666,2020-04-12,07:05:00,TNC Predator,https://ru.dltv.org/storage/app/uploads/public/c7b/0ec/91e/thumb__100_100_0_0_auto.png,2.0,0.0
,370666,2020-04-11,07:05:00,Reality Rift,https://ru.dltv.org/storage/app/uploads/public/9d9/d47/aea/thumb__100_100_0_0_auto.png,0.0,2.0
,370666,2020-04-04,07:00:00,MS Chonburi,https://ru.dltv.org/storage/app/uploads/public/fc6/157/c26/thumb__100_100_0_0_auto.png,2.0,0.0
,369834,2020-04-17,08:05:00,Invictus Gaming,https://ru.dltv.org/storage/app/uploads/public/c37/997/4af/thumb__100_100_0_0_auto.png,1.0,2.0
,369834,2020-04-16,05:10:00,Newbee,https://ru.dltv.org/storage/app/uploads/public/be9/f06/a04/thumb__100_100_0_0_auto.png,2.0,1.0
,369834,2020-04-12,08:05:00,PSG.LGD,https://ru.dltv.org/storage/app/uploads/public/fd9/4e3/f01/thumb__100_100_0_0_auto.png,1.0,2.0
,369834,2020-04-11,05:10:00,Keen Gaming,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__100_100_0_0_auto.png,2.0,1.0
,369834,2020-04-10,11:05:00,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,0.0,2.0
,370644,2020-04-17,09:35:00,BOOM Esports,https://ru.dltv.org/storage/app/uploads/public/e9d/2c2/434/thumb__100_100_0_0_auto.png,2.0,0.0
,370644,2020-04-15,07:05:00,CR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2.0,0.0
,370644,2020-04-12,04:05:00,Geek Fam,https://ru.dltv.org/storage/app/uploads/public/e39/b61/93b/thumb__100_100_0_0_auto.png,1.0,2.0
,370644,2020-04-11,09:10:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,0.0,2.0
,370644,2020-03-22,04:30:00,Team Strawberry,https://ru.dltv.org/storage/app/uploads/public/003/098/11c/thumb__100_100_0_0_auto.png,0.0,2.0
,370770,2020-04-17,10:05:00,Team Poyo,https://ru.dltv.org/storage/app/uploads/public/e00/7ee/69d/thumb__100_100_0_0_auto.png,2.0,0.0
,370770,2020-04-16,10:05:00,Benny Brian,https://ru.dltv.org/storage/app/uploads/public/aeb/286/2c1/thumb__100_100_0_0_auto.png,0.0,2.0
,369843,2020-04-15,11:10:00,Ocean,https://ru.dltv.org/storage/app/uploads/public/ddb/f51/e19/thumb__100_100_0_0_auto.png,2.0,0.0
,369843,2020-04-14,11:05:00,Team Aster,https://ru.dltv.org/storage/app/uploads/public/295/8d3/87a/thumb__100_100_0_0_auto.png,1.0,2.0
,369843,2020-04-13,11:15:00,Invictus Gaming,https://ru.dltv.org/storage/app/uploads/public/c37/997/4af/thumb__100_100_0_0_auto.png,0.0,2.0
,369843,2020-04-12,12:30:00,PSG.LGD,https://ru.dltv.org/storage/app/uploads/public/fd9/4e3/f01/thumb__100_100_0_0_auto.png,0.0,2.0
,369843,2020-04-11,11:10:00,Newbee,https://ru.dltv.org/storage/app/uploads/public/be9/f06/a04/thumb__100_100_0_0_auto.png,2.0,0.0
,370099,2020-04-17,08:05:00,Sparking Arrow Gaming,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,2.0,1.0
,370099,2020-04-16,08:35:00,Vici Gaming,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,2.0,1.0
,370099,2020-04-14,07:10:00,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,1.0,2.0
,370099,2020-04-13,11:15:00,Keen Gaming,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__100_100_0_0_auto.png,2.0,0.0
,370099,2020-04-12,05:20:00,Team Aster,https://ru.dltv.org/storage/app/uploads/public/295/8d3/87a/thumb__100_100_0_0_auto.png,1.0,2.0
,370835,2020-04-17,08:45:00,Revenge Gaming,https://ru.dltv.org/storage/app/uploads/public/2b9/1bc/326/thumb__100_100_0_0_auto.png,2.0,1.0
,370835,2020-04-12,13:30:00,Team Honor,https://ru.dltv.org/storage/app/uploads/public/901/f9e/a88/thumb__100_100_0_0_auto.png,2.0,0.0
,370835,2020-04-12,08:50:00,Revenge Gaming,https://ru.dltv.org/storage/app/uploads/public/2b9/1bc/326/thumb__100_100_0_0_auto.png,1.0,2.0
,370835,2020-04-11,13:25:00,Team Sincere,https://ru.dltv.org/storage/app/uploads/public/93b/64f/4f4/thumb__100_100_0_0_auto.png,0.0,2.0
,370835,2020-04-10,13:30:00,Panda Gaming,https://ru.dltv.org/storage/app/uploads/public/177/b11/79e/thumb__100_100_0_0_auto.png,0.0,2.0
,370551,2020-04-17,09:05:00,Nigma,https://ru.dltv.org/storage/app/uploads/public/fd4/d24/31c/thumb__100_100_0_0_auto.png,2.0,1.0
,370551,2020-04-16,18:20:00,Alliance,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,1.0,2.0
,370551,2020-04-16,12:00:00,F.R.I.E.N.D.S.,https://ru.dltv.org/storage/app/uploads/public/4b5/9d6/49d/thumb__100_100_0_0_auto.png,2.0,0.0
,370551,2020-04-15,09:10:00,Team Unique,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,2.0,1.0
,370551,2020-04-13,09:05:00,Team Liquid,https://ru.dltv.org/storage/app/uploads/public/8f7/855/e04/thumb__100_100_0_0_auto.png,2.0,1.0
,370751,2020-04-15,10:20:00,Sincerely Fury,https://ru.dltv.org/storage/app/uploads/public/836/c7b/7c6/thumb__100_100_0_0_auto.png,0.0,2.0
,370751,2020-04-14,10:10:00,Team Poyo,https://ru.dltv.org/storage/app/uploads/public/e00/7ee/69d/thumb__100_100_0_0_auto.png,2.0,0.0
,370763,2020-04-17,10:05:00,Team Poyo,https://ru.dltv.org/storage/app/uploads/public/e00/7ee/69d/thumb__100_100_0_0_auto.png,2.0,0.0
,370763,2020-04-16,10:05:00,Benny Brian,https://ru.dltv.org/storage/app/uploads/public/aeb/286/2c1/thumb__100_100_0_0_auto.png,0.0,2.0
,369233,2020-04-16,10:00:00,CR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2.0,0.0
,369233,2020-04-14,07:05:00,TNC Predator,https://ru.dltv.org/storage/app/uploads/public/c7b/0ec/91e/thumb__100_100_0_0_auto.png,0.0,2.0
,369233,2020-04-12,09:30:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,1.0,2.0
,369233,2020-04-12,04:05:00,T1,https://ru.dltv.org/storage/app/uploads/public/0f9/42d/c38/thumb__100_100_0_0_auto.png,2.0,1.0
,369233,2020-04-10,09:00:00,Team Adroit,https://ru.dltv.org/storage/app/uploads/public/e1d/eae/cf0/thumb__100_100_0_0_auto.png,0.0,2.0
,370091,2020-04-17,12:05:00,Vici Gaming,https://ru.dltv.org/storage/app/uploads/public/0a9/787/b22/thumb__100_100_0_0_auto.png,2.0,0.0
,370091,2020-04-12,09:20:00,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,1.0,2.0
,370091,2020-04-10,07:15:00,PSG.LGD,https://ru.dltv.org/storage/app/uploads/public/fd9/4e3/f01/thumb__100_100_0_0_auto.png,1.0,2.0
,370091,2020-04-09,11:05:00,Invictus Gaming,https://ru.dltv.org/storage/app/uploads/public/c37/997/4af/thumb__100_100_0_0_auto.png,0.0,2.0
,370091,2020-04-07,11:10:00,Team Aster,https://ru.dltv.org/storage/app/uploads/public/295/8d3/87a/thumb__100_100_0_0_auto.png,2.0,0.0
,369860,2020-04-16,11:40:00,Royal Never Give Up,https://ru.dltv.org/storage/app/uploads/public/f00/bb8/679/thumb__100_100_0_0_auto.png,0.0,2.0
,369860,2020-04-12,12:30:00,Keen Gaming,https://ru.dltv.org/storage/app/uploads/public/edd/602/459/thumb__100_100_0_0_auto.png,2.0,0.0
,369860,2020-04-12,08:05:00,Sparking Arrow Gaming,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,2.0,1.0
,369860,2020-04-10,07:15:00,EHOME,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__100_100_0_0_auto.png,2.0,1.0
,369860,2020-04-07,07:20:00,Ocean,https://ru.dltv.org/storage/app/uploads/public/ddb/f51/e19/thumb__100_100_0_0_auto.png,2.0,0.0
,370845,2020-04-17,08:45:00,Revenge Gaming,https://ru.dltv.org/storage/app/uploads/public/2b9/1bc/326/thumb__100_100_0_0_auto.png,2.0,1.0
,370845,2020-04-12,13:30:00,Team Honor,https://ru.dltv.org/storage/app/uploads/public/901/f9e/a88/thumb__100_100_0_0_auto.png,2.0,0.0
,370845,2020-04-12,08:50:00,Revenge Gaming,https://ru.dltv.org/storage/app/uploads/public/2b9/1bc/326/thumb__100_100_0_0_auto.png,1.0,2.0
,370845,2020-04-11,13:25:00,Team Sincere,https://ru.dltv.org/storage/app/uploads/public/93b/64f/4f4/thumb__100_100_0_0_auto.png,0.0,2.0
,370845,2020-04-10,13:30:00,Panda Gaming,https://ru.dltv.org/storage/app/uploads/public/177/b11/79e/thumb__100_100_0_0_auto.png,0.0,2.0
,370738,2020-04-17,08:05:00,Pristine n Clean,https://ru.dltv.org/storage/app/uploads/public/be1/146/ab4/thumb__100_100_0_0_auto.png,1.0,1.0
,370714,2020-04-17,16:20:00,Virtus.pro,https://ru.dltv.org/storage/app/uploads/public/825/a78/65e/thumb__100_100_0_0_auto.png,0.0,2.0
,370714,2020-04-16,18:20:00,Ninjas in Pyjamas,https://ru.dltv.org/storage/app/uploads/public/ae1/b22/89c/thumb__100_100_0_0_auto.png,2.0,0.0
,370714,2020-04-15,12:20:00,Natus Vincere,https://ru.dltv.org/storage/app/uploads/public/926/90e/d55/thumb__100_100_0_0_auto.png,2.0,0.0
,370714,2020-04-13,12:55:00,Team Secret,https://ru.dltv.org/storage/app/uploads/public/697/dc9/c84/thumb__100_100_0_0_auto.png,1.0,2.0
,370714,2020-04-11,12:30:00,Team Liquid,https://ru.dltv.org/storage/app/uploads/public/8f7/855/e04/thumb__100_100_0_0_auto.png,2.0,1.0
,369234,2020-04-15,09:25:00,Reality Rift,https://ru.dltv.org/storage/app/uploads/public/9d9/d47/aea/thumb__100_100_0_0_auto.png,2.0,0.0
,369234,2020-04-13,09:20:00,CR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2.0,1.0
,369234,2020-04-10,09:00:00,Geek Fam,https://ru.dltv.org/storage/app/uploads/public/e39/b61/93b/thumb__100_100_0_0_auto.png,2.0,0.0
,369234,2020-04-02,08:05:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,0.0,3.0
,369234,2020-04-01,10:10:00,BOOM Esports,https://ru.dltv.org/storage/app/uploads/public/e9d/2c2/434/thumb__100_100_0_0_auto.png,2.0,1.0
,370552,2020-04-17,12:35:00,Alliance,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,2.0,1.0
,370552,2020-04-16,15:05:00,Nigma,https://ru.dltv.org/storage/app/uploads/public/fd4/d24/31c/thumb__100_100_0_0_auto.png,0.0,2.0
,370552,2020-04-15,16:05:00,FlyToMoon,https://ru.dltv.org/storage/app/uploads/public/e86/805/1db/thumb__100_100_0_0_auto.png,2.0,0.0
,370552,2020-04-15,13:10:00,Team Unique,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,2.0,0.0
,370552,2020-04-14,17:10:00,B8,https://ru.dltv.org/storage/app/uploads/public/69a/96f/ae8/thumb__100_100_0_0_auto.jpg,2.0,0.0
,370966,2020-04-17,12:35:00,Alliance,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,2.0,1.0
,370966,2020-04-16,15:05:00,Nigma,https://ru.dltv.org/storage/app/uploads/public/fd4/d24/31c/thumb__100_100_0_0_auto.png,0.0,2.0
,370966,2020-04-15,16:05:00,FlyToMoon,https://ru.dltv.org/storage/app/uploads/public/e86/805/1db/thumb__100_100_0_0_auto.png,2.0,0.0
,370966,2020-04-15,13:10:00,Team Unique,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,2.0,0.0
,370966,2020-04-14,17:10:00,B8,https://ru.dltv.org/storage/app/uploads/public/69a/96f/ae8/thumb__100_100_0_0_auto.jpg,2.0,0.0
,370964,2020-04-16,16:05:00,Winstrike Team,https://ru.dltv.org/storage/app/uploads/public/f62/7b0/6df/thumb__100_100_0_0_auto.png,2.0,0.0
,370964,2020-04-15,16:30:00,Virtus.pro,https://ru.dltv.org/storage/app/uploads/public/825/a78/65e/thumb__100_100_0_0_auto.png,0.0,2.0
,370964,2020-04-14,17:00:00,FlyToMoon 2.0,https://ru.dltv.org/storage/app/uploads/public/824/57e/3a2/thumb__100_100_0_0_auto.png,2.0,1.0
,370964,2020-04-14,13:15:00,Aggressive Mode,https://ru.dltv.org/storage/app/uploads/public/2a0/eec/4bc/thumb__100_100_0_0_auto.png,2.0,1.0
,370964,2020-04-09,13:05:00,ViKin.gg,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,2.0,1.0
,370967,2020-04-06,17:05:00,Empire Hope,https://ru.dltv.org/storage/app/uploads/public/6bd/a9b/bd8/thumb__100_100_0_0_auto.png,1.0,2.0
,370967,2020-04-05,15:15:00,Cyber Legacy,https://ru.dltv.org/storage/app/uploads/public/181/19f/cb6/thumb__100_100_0_0_auto.png,1.0,2.0
,370967,2020-04-04,14:05:00,VP.Prodigy,https://ru.dltv.org/storage/app/uploads/public/bca/9cc/3ac/thumb__100_100_0_0_auto.png,0.0,2.0
,370967,2020-04-01,15:05:00,Cyber Legacy,https://ru.dltv.org/storage/app/uploads/public/181/19f/cb6/thumb__100_100_0_0_auto.png,2.0,1.0
,370967,2020-03-20,15:45:00,Aggressive Mode,https://ru.dltv.org/storage/app/uploads/public/2a0/eec/4bc/thumb__100_100_0_0_auto.png,0.0,2.0
,370972,2020-04-14,12:05:00,KBU,https://ru.dltv.org/storage/app/uploads/public/d1a/b23/f35/thumb__100_100_0_0_auto.png,2,1
,370972,2020-04-11,21:00:00,DisRespecT,https://ru.dltv.org/storage/app/uploads/public/0f1/96a/ff4/thumb__100_100_0_0_auto.png,2,0
,370972,2020-04-09,12:05:00,F.R.I.E.N.D.S.,https://ru.dltv.org/storage/app/uploads/public/4b5/9d6/49d/thumb__100_100_0_0_auto.png,0,2
,370972,2020-04-08,16:15:00,Chicken Fighters,https://ru.dltv.org/storage/app/uploads/public/8ba/49a/6a0/thumb__100_100_0_0_auto.png,1,2
,370972,2020-04-07,12:25:00,No Bounty Hunter,https://ru.dltv.org/storage/app/uploads/public/a68/06c/3b0/thumb__100_100_0_0_auto.png,2,1
