match_id,Mlinks,T1names,T2names,T1logos,T2logos,Mtime,Mdate,Mtour,Mtypes,TIME
372170,https://ru.dltv.org/matches/372170,Wstrike,EmpH,https://ru.dltv.org/storage/app/uploads/public/f76/a9f/f8f/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/686/190/b82/thumb__40_40_0_0_auto.png,16:00:00,2020-05-28,Parimatch League Season 3 Round Robin,Best of 3,2020-05-28 16:00:00+03:00
372831,https://ru.dltv.org/matches/372831,BGod,LGD.int,https://ru.dltv.org/storage/app/uploads/public/9c3/cb7/e9e/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/44a/423/93f/thumb__40_40_0_0_auto.png,16:00:00,2020-05-28,Huya World E-sports Legendary League SEA Qualifier,Best of 2,2020-05-28 16:00:00+03:00
372531,https://ru.dltv.org/matches/372531,Rockets,WOLF,https://ru.dltv.org/storage/app/uploads/public/52b/5aa/e1a/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/eda/faf/cdb/thumb__40_40_0_0_auto.png,16:30:00,2020-05-28,Red Star Cup Season 6,Best of 3,2020-05-28 16:30:00+03:00
372713,https://ru.dltv.org/matches/372713,Nigma,Unique,https://ru.dltv.org/storage/app/uploads/public/dfd/a31/395/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/6ad/c65/1de/thumb__40_40_0_0_auto.png,17:00:00,2020-05-28,ESL One Birmingham 2020 - Online: Europe & CIS,Best of 3,2020-05-28 17:00:00+03:00
372731,https://ru.dltv.org/matches/372731,Na`Vi,Family,https://ru.dltv.org/storage/app/uploads/public/ab8/bc3/16c/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/777/78c/f0b/thumb__40_40_0_0_auto.png,17:00:00,2020-05-28,ESL One Birmingham 2020 - Online: Europe & CIS,Best of 3,2020-05-28 17:00:00+03:00
372743,https://ru.dltv.org/matches/372743,VP.P,FTM,https://ru.dltv.org/storage/app/uploads/public/fe3/d36/bf6/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9dd/1be/dee/thumb__40_40_0_0_auto.png,17:00:00,2020-05-28,ESL One Birmingham 2020 - Online: Europe & CIS,Best of 3,2020-05-28 17:00:00+03:00
372702,https://ru.dltv.org/matches/372702,CR4ZY,OG Seed,https://ru.dltv.org/storage/app/uploads/public/b47/a89/427/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/95b/2f0/113/thumb__40_40_0_0_auto.png,18:45:00,2020-05-28,OMG Cup 3,Best of 3,2020-05-28 18:45:00+03:00
372407,https://ru.dltv.org/matches/372407,Solid,EmpH,https://ru.dltv.org/storage/app/uploads/public/739/b16/0bc/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/686/190/b82/thumb__40_40_0_0_auto.png,19:00:00,2020-05-28,Global Infection Cup,Best of 3,2020-05-28 19:00:00+03:00
372175,https://ru.dltv.org/matches/372175,Wstrike,VP,https://ru.dltv.org/storage/app/uploads/public/f76/a9f/f8f/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/32a/cbf/2a7/thumb__40_40_0_0_auto.png,19:00:00,2020-05-28,Parimatch League Season 3 Round Robin,Best of 3,2020-05-28 19:00:00+03:00
372747,https://ru.dltv.org/matches/372747,OG,HR,https://ru.dltv.org/storage/app/uploads/public/d1c/b66/86e/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/aa1/476/b60/thumb__40_40_0_0_auto.png,20:00:00,2020-05-28,ESL One Birmingham 2020 - Online: Europe & CIS,Best of 3,2020-05-28 20:00:00+03:00
