match_id,Mlinks,T1names,T2names,T1logos,T2logos,Mtime,Mdate,Mtour,Mtypes
370614,https://ru.dltv.org/matches/370614,EG,TP,https://ru.dltv.org/storage/app/uploads/public/008/21c/b3a/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/203/42b/153/thumb__40_40_0_0_auto.png,20:00:00,2020-04-11,BTS Pro Series: Americas,Best of 3
370630,https://ru.dltv.org/matches/370630,CR4ZY,Cloud9,https://ru.dltv.org/storage/app/uploads/public/042/1f9/bab/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ace/295/e19/thumb__40_40_0_0_auto.png,23:00:00,2020-04-11,BTS Pro Series: Americas,Best of 3
369956,https://ru.dltv.org/matches/369956,Venture,Future,https://ru.dltv.org/storage/app/uploads/public/7b6/c1c/1be/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7a5/539/8cd/thumb__40_40_0_0_auto.png,02:30:00,2020-04-12,Asian DOTA2 Gold Occupation Competition S12,Best of 3
370462,https://ru.dltv.org/matches/370462,GSparta,Saint,https://ru.dltv.org/storage/app/uploads/public/d48/a70/b77/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/5f4/d4d/0fc/thumb__40_40_0_0_auto.png,03:00:00,2020-04-12,Amadeus Cup,Best of 2
370652,https://ru.dltv.org/matches/370652,GeekF,T1,https://ru.dltv.org/storage/app/uploads/public/e39/b61/93b/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0f9/42d/c38/thumb__40_40_0_0_auto.png,04:00:00,2020-04-12,BTS Pro Series: Southeast Asia,Best of 3
370443,https://ru.dltv.org/matches/370443,BB,TBD,https://ru.dltv.org/storage/app/uploads/public/186/871/d32/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,05:00:00,2020-04-12,JJB Spring Cup Season 2,Best of 3
370480,https://ru.dltv.org/matches/370480,Gfellaz,Neon,https://ru.dltv.org/storage/app/uploads/public/51e/e3e/7d1/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d99/a95/8dc/thumb__40_40_0_0_auto.png,05:00:00,2020-04-12,Amadeus Cup,Best of 2
369868,https://ru.dltv.org/matches/369868,IG,Aster,https://ru.dltv.org/storage/app/uploads/public/c37/997/4af/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/295/8d3/87a/thumb__40_40_0_0_auto.png,05:00:00,2020-04-12,Chinese DOTA2 Professional Association,Best of 3
369976,https://ru.dltv.org/matches/369976,H.P.Bro,Future,https://ru.dltv.org/storage/app/uploads/public/71c/bbc/9fb/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/7a5/539/8cd/thumb__40_40_0_0_auto.png,05:30:00,2020-04-12,Asian DOTA2 Gold Occupation Competition S12,Best of 3
370484,https://ru.dltv.org/matches/370484,Gfellaz,XctN,https://ru.dltv.org/storage/app/uploads/public/51e/e3e/7d1/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/a5f/e2d/e07/thumb__40_40_0_0_auto.png,07:00:00,2020-04-12,Amadeus Cup,Best of 2
370667,https://ru.dltv.org/matches/370667,TNC,BOOM,https://ru.dltv.org/storage/app/uploads/public/c7b/0ec/91e/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e9d/2c2/434/thumb__40_40_0_0_auto.png,07:00:00,2020-04-12,BTS Pro Series: Southeast Asia,Best of 3
370444,https://ru.dltv.org/matches/370444,Newbee,TBD,https://ru.dltv.org/storage/app/uploads/public/be9/f06/a04/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__40_40_0_0_auto.png,08:00:00,2020-04-12,JJB Spring Cup Season 2,Best of 5
369934,https://ru.dltv.org/matches/369934,Winning,WOLF,https://ru.dltv.org/storage/app/uploads/public/c3a/4f8/b6d/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/47e/fef/8f9/thumb__40_40_0_0_auto.png,08:30:00,2020-04-12,Asian DOTA2 Gold Occupation Competition S12,Best of 3
369877,https://ru.dltv.org/matches/369877,Revenge,Brave,https://ru.dltv.org/storage/app/uploads/public/2b9/1bc/326/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/01d/ba7/3b0/thumb__40_40_0_0_auto.png,08:30:00,2020-04-12,Masters Tournament Season 6,Best of 3
370196,https://ru.dltv.org/matches/370196,Gambit,B8,https://ru.dltv.org/storage/app/uploads/public/e9d/0af/588/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/69a/96f/ae8/thumb__40_40_0_0_auto.jpg,09:00:00,2020-04-12,ESL One Los Angeles 2020 - Online: Europe & CIS,Best of 3
370481,https://ru.dltv.org/matches/370481,Neon,XctN,https://ru.dltv.org/storage/app/uploads/public/d99/a95/8dc/thumb__40_40_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/a5f/e2d/e07/thumb__40_40_0_0_auto.png,09:00:00,2020-04-12,Amadeus Cup,Best of 2
